,Country,HappinessScore,EconomyGDPperCapita,Family,HealthLifeExpectancy,Freedom,TrustGovernmentCorruption,Generosity,DystopiaResidual,Socialsupport
0,Afghanistan,3.5763333035,0.3678557392,0.3315877755,0.2191789263,0.1682065068,0.0764892767,0.3298836442,2.0828270606,0.8563333333
1,Albania,4.7526666845,0.9433875844,0.703218416,0.7581599155,0.3524962116,0.0523347387,0.1708109814,1.7725138536,1.194
2,Algeria,5.9440000725,1.0279381556,1.0190091551,0.6177615486,0.243061936,0.1604987034,0.0726988823,2.8029112755,1.4833333333
3,Angola,3.8980000254,0.8211727267,0.8761573199,0.0888695552,0.0365766667,0.0750934451,0.1140254967,1.8861541343,0.9955
4,Argentina,6.607666659,1.1300584875,1.2516003817,0.7264923612,0.4556997346,0.0725132959,0.1112856869,2.8599517757,1.3801666667
5,Armenia,4.3619999758,0.843222246,0.8031212403,0.669418142,0.1790477558,0.0339448072,0.0799893639,1.7529563857,1.0391666667
6,Australia,7.29366664,1.4208083117,1.3080106507,0.8755489309,0.6070724608,0.3269545768,0.4624630833,2.2927236064,1.517
7,Austria,7.1083333473,1.4249024211,1.2802716545,0.8371328064,0.5785487299,0.2071001218,0.3253341072,2.4550454708,1.4621666667
8,Azerbaijan,5.2456667353,1.1004072552,0.9502500851,0.5754219253,0.3739086128,0.1735925024,0.0598864468,2.0122372298,1.167
9,Bahrain,6.0883332977,1.4174707537,1.1611068204,0.6857510116,0.4884723064,0.2735873899,0.1725861623,1.8893897958,1.3558333333
10,Bangladesh,4.6483332672,0.5086609918,0.4712272469,0.5549236779,0.4281122198,0.1250792865,0.191931784,2.3684820541,1.1335
11,Belarus,5.7279999224,1.1063658533,1.2425884054,0.6682780889,0.321896754,0.1739279406,0.1350058364,2.0799843282,1.217
12,Belgium,6.9189999313,1.3989969203,1.2668208995,0.8447839565,0.5459369075,0.2464077104,0.2321344459,2.3842001192,1.4941666667
13,Belize,5.9559999256,0.892067658,0.8839838995,0.452940883,0.5299096861,0.1021455358,0.2384278204,2.8561728118,1.36675
14,Benin,3.4936666883,0.3709084692,0.2977832812,0.2464367371,0.435977592,0.0692796718,0.1974494871,1.8756769884,0.6166666667
15,Bhutan,5.1533333855,0.8361787962,1.1174788381,0.5225130975,0.4981125602,0.1631434633,0.4798315151,1.5357614675,1.3096666667
16,Bolivia,5.8449999847,0.7697688553,1.0146063506,0.4941767498,0.5474943089,0.0753125754,0.2159669082,2.7276563426,1.3616666667
17,Bosnia and Herzegovina,5.0980000534,0.9161564725,0.8773886458,0.7345521025,0.1306543923,0.0007566667,0.2919458317,2.1466341917,1.206
18,Botswana,4.0240000108,1.0699680515,1.0726849982,0.2456785031,0.4803454443,0.110337733,0.1094028161,0.9357112378,0.9763333333
19,Brazil,6.856666743,1.0587110701,1.2345186682,0.6425741176,0.4440645823,0.1426542537,0.1552832982,3.1788690274,1.5091666667
20,Bulgaria,4.383000075,1.0955596961,1.1553131528,0.7175892268,0.2690972392,0.0086405103,0.1201058981,1.0166064293,1.0285
21,Burkina Faso,3.7860000216,0.3094325712,0.8419000018,0.2333547529,0.3509992837,0.1246593687,0.2372882282,1.6884476353,0.778
22,Burundi,2.9049999905,0.0584108562,0.4266945281,0.1776802639,0.0738669177,0.0929859817,0.2015350615,1.8733613893,0.5625
23,Cambodia,3.9646667404,0.5393950321,0.7236994471,0.4886211346,0.6281186078,0.0738319837,0.3976343228,1.1135403645,0.7286666667
24,Cameroon,4.4866667239,0.5039251217,0.8197027397,0.1646307056,0.4502795829,0.0568088771,0.2230928189,2.2680518607,0.907
25,Canada,7.3823333282,1.4152148054,1.3000196638,0.8559292175,0.6059236374,0.3100771721,0.4473299075,2.4479581475,1.5173333333
26,Central African Republic,3.1855000391,0.03925,0.0,0.042881343,0.3798160228,0.0697275381,0.2596132437,2.3941523766,0.46475
27,Chad,3.7886667029,0.4006943291,0.7820852907,0.0764915717,0.1751406756,0.0519306274,0.1955479502,2.1068560136,0.963
28,Chile,6.6756666501,1.1922115366,1.1047883179,0.8322932346,0.3987017596,0.108495994,0.3254141404,2.7134952858,1.2823333333
29,China,5.2193332545,0.9996952635,0.9671324706,0.7645351669,0.4766259027,0.0260180915,0.0534156137,1.932069531,1.3303333333
30,Colombia,6.4383332914,1.0065174416,1.2213509789,0.6274626412,0.4864991384,0.0506195806,0.1630948243,2.8827160416,1.4538333333
31,Comoros,3.956,0.257075,0.69798,0.33148,0.191645,0.191685,0.178555,2.10722,1.007
32,Congo (Brazzaville),4.1719999631,0.7529047508,0.6576447877,0.2941958113,0.4096886236,0.0980027112,0.1218340426,1.8374318791,0.8615
33,Congo (Kinshasa),4.3563334033,0.0495707829,1.0123278189,0.159155675,0.2060104493,0.0657471188,0.2497919444,2.6137728861,1.0378333333
34,Costa Rica,7.1306666654,1.0447587609,1.2252678837,0.7937464218,0.5887138833,0.1038021965,0.2317044097,3.1425330674,1.492
35,Croatia,5.5133334071,1.1638620778,0.7907710025,0.7315261738,0.2512240975,0.0358077033,0.1622609921,2.3777508086,1.3235
36,Cyprus,5.6186666044,1.2942126923,0.9105044242,0.8723582337,0.3523005131,0.0516593255,0.285564767,1.8518430663,1.234
37,Czech Republic,6.5700000687,1.280270784,1.2160817389,0.787678001,0.4562553912,0.0344176424,0.0980855863,2.6972639528,1.3995
38,Denmark,7.5249999453,1.4165476709,1.3584805308,0.8207485082,0.6182655742,0.4429566894,0.3527934962,2.5150457839,1.5843333333
39,Djibouti,4.369,0.44025,0.59207,0.36291,0.46074,0.28105,0.18093,2.05125,1.1125
40,Dominican Republic,5.0900000064,1.0008712788,1.189798902,0.6066045818,0.5506332779,0.1266684177,0.2055559499,1.4095917201,1.0301666667
41,Ecuador,5.986333299,0.9459667994,1.0483129379,0.7208387408,0.4478793995,0.1671348825,0.1220874883,2.5344775276,1.4156666667
42,Egypt,4.4303333778,0.9418172692,0.7475337974,0.5528224196,0.2144867182,0.0938504552,0.1228671476,1.7567936912,1.111
43,El Salvador,6.0669999275,0.8493414986,1.0056483639,0.6231295176,0.4028808432,0.1046236533,0.0913159951,2.9903112958,1.373
44,Estonia,5.5190000203,1.2507531134,1.2520703666,0.7165861055,0.4477071435,0.1734263074,0.0899736037,1.5883928865,1.338
45,Ethiopia,4.493333346,0.2742646152,0.6160164013,0.3799132358,0.4034575808,0.162545238,0.2837069134,2.3735479108,1.0075
46,Finland,7.4293332876,1.3799339751,1.3310489084,0.8363925565,0.6102269522,0.4021238476,0.2446375909,2.6252305011,1.526
47,France,6.4983333041,1.367861154,1.2177456172,0.8760686173,0.4953173718,0.1856808094,0.1248941023,2.2305382475,1.404
48,Gabon,4.1606667175,1.1389867465,0.9281934058,0.3798995295,0.3041495257,0.0933655957,0.0581484594,1.2583954231,0.9643333333
49,Georgia,4.2783332583,0.8434775547,0.3829083113,0.673052327,0.3465966785,0.3179255451,0.0591129385,1.6552859353,1.1065
50,Germany,6.8983334045,1.4212377946,1.2898767838,0.8352269106,0.5706471282,0.2602239794,0.3076430567,2.2135899862,1.4795
51,Ghana,4.3429999619,0.6146249415,0.6822449122,0.3312559089,0.4187254312,0.03382879,0.2332746479,2.029085836,0.9535
52,Greece,5.0390000788,1.2308024937,0.9744915242,0.8308729677,0.076980417,0.032843259,0.0,1.8932238544,1.0506666667
53,Guatemala,6.3003333321,0.8173573153,1.0567783979,0.5749599966,0.5374768726,0.0863177595,0.2821527976,2.9450236987,1.4285
54,Guinea,3.5899999898,0.2142899767,0.5222982285,0.2075030464,0.3451225043,0.1171758726,0.283508364,1.9000239658,0.7061666667
55,Haiti,4.0496666419,0.3254367543,0.559693274,0.3135770433,0.1317799524,0.1387940498,0.4768845936,2.103352545,0.7286666667
56,Honduras,4.9466667442,0.6733943726,0.9511283262,0.6204998266,0.3390366201,0.0702184842,0.2236196245,2.0684670524,1.206
57,Hong Kong,5.466,1.44837,0.964195,0.983025,0.538435,0.343855,0.397875,0.790215,1.146
58,"Hong Kong S.A.R., China",5.4720001221,1.5516748428,1.2627909184,0.9430624247,0.4909686446,0.2939337492,0.3744657934,0.5546331406,1.32
59,Hungary,5.0896666272,1.2161239781,1.158974364,0.7076311508,0.2315611731,0.0363123125,0.1018005541,1.6373097581,1.1453333333
60,Iceland,7.5220000623,1.4032043401,1.3986880023,0.882907374,0.6073908784,0.1482421865,0.4628734069,2.6186984275,1.5831666667
61,India,4.4280000191,0.7258570827,0.4761941989,0.4738758723,0.4235656683,0.0881222951,0.2488561632,1.9915223723,1.0111666667
62,Indonesia,5.325000028,0.9249495308,1.0792582331,0.5413385735,0.4339344877,0.0061790452,0.564088196,1.7750589921,1.2973333333
63,Iran,4.7303333041,1.0944177023,0.548197083,0.6599010628,0.2583642027,0.0543636912,0.3844943044,1.7304349837,1.174
64,Iraq,4.5830000725,1.0543134952,0.7965177326,0.53810349,0.1790385109,0.1271519182,0.1915824213,1.6962757536,0.8071666667
65,Ireland,6.9413334122,1.4516922131,1.3630937051,0.8398875414,0.5769867807,0.2943193844,0.445499441,1.9698163459,1.5005
66,Israel,7.2526666069,1.3138708078,1.1985299879,0.8671479999,0.3944995346,0.0834573667,0.3282275517,3.0668624452,1.4905
67,Italy,5.963000075,1.333718873,1.2281210939,0.8862081159,0.2356935709,0.0275326971,0.1892865494,2.0625573512,1.3733333333
68,Ivory Coast,3.9169999428,0.5411529735,0.7505633434,0.0817507232,0.4409987309,0.1548605918,0.2020891566,1.7456580886,0.8003333333
